norma,capitulo,requisito,resumen,documento_esperado,tipo_documento,obligatorio,observacion_consultiva
ISO 9001,4,4.1,Contexto de la organizacion,Matriz de contexto y cuestiones internas y externas | Analisis FODA o diagnostico estrategico,Matriz,No,Conviene registrar factores internos externos y su impacto sobre el sistema.
ISO 9001,4,4.2,Partes interesadas,Matriz de partes interesadas y requisitos | Seguimiento de necesidades y expectativas,Matriz,No,Es util vincular cada parte interesada con necesidades y seguimiento.
ISO 9001,4,4.3,Alcance del sistema,Documento de alcance del SGC,Marco del sistema,Si,Debe definir productos servicios sitios y exclusiones aplicables.
ISO 9001,4,4.4,Procesos e interacciones,Mapa de procesos e interacciones | Fichas de proceso | Matriz de indicadores por proceso,Arquitectura del sistema,Si,Conviene mostrar secuencia entradas salidas responsables e indicadores asociados.
ISO 9001,5,5.1,Compromiso de liderazgo,Acta o lineamientos de liderazgo del sistema,Registro de direccion,No,Puede evidenciarse con definiciones formales de prioridades revisiones y recursos.
ISO 9001,5,5.2,Politica de calidad,Politica de calidad aprobada,Politica,Si,La politica debe estar aprobada comunicada y alineada al contexto del negocio.
ISO 9001,5,5.3,Roles responsabilidades y autoridades,Matriz de roles y responsabilidades del SGC | Organigrama funcional,Matriz,No,Es recomendable definir responsables de procesos y de cumplimiento del sistema.
ISO 9001,6,6.1,Riesgos y oportunidades,Matriz de riesgos y oportunidades | Plan de tratamiento de riesgos,Matriz,Si,Se espera una metodologia clara para priorizar riesgos y planes de tratamiento.
ISO 9001,6,6.2,Objetivos de calidad,Objetivos de calidad y plan de seguimiento | Indicadores asociados | Plan de accion de desvio,Plan de gestion,Si,Idealmente deben medirse con indicadores responsables y frecuencia.
ISO 9001,6,6.3,Planificacion de cambios,Procedimiento de gestion de cambios | Registro de cambios evaluados,Procedimiento,No,Debe ordenar impacto aprobacion implementacion y verificacion de cambios.
ISO 9001,7,7.1.2,Personas,Plan de dotacion o asignacion de recursos,Plan,No,Puede resolverse con definiciones de estructura y asignacion para procesos clave.
ISO 9001,7,7.1.3,Infraestructura,Plan de mantenimiento e infraestructura | Registro de mantenimiento preventivo,Plan,No,Conviene incluir instalaciones equipos software y servicios de apoyo.
ISO 9001,7,7.1.4,Ambiente para la operacion,Criterios de ambiente de trabajo y condiciones operativas,Criterio,No,Aplica a condiciones fisicas ambientales y sociales del trabajo.
ISO 9001,7,7.1.5,Recursos de seguimiento y medicion,Programa de calibracion o verificacion | Registro de calibraciones y vencimientos,Programa,No,Si aplica medicion conviene formalizar identificacion estado y trazabilidad.
ISO 9001,7,7.1.6,Conocimiento organizacional,Metodo de gestion del conocimiento o lecciones aprendidas,Criterio,No,Se puede apoyar en instructivos matrices o repositorios de conocimiento.
ISO 9001,7,7.2,Competencia,Perfil de puestos o matriz de competencias | Registro de formacion y evaluacion de competencia,Soporte de gestion,No,Puede resolverse con perfiles de puesto matriz de competencias o equivalente.
ISO 9001,7,7.3,Toma de conciencia,Plan de comunicacion y sensibilizacion,Plan,No,Conviene evidenciar conocimiento de politica objetivos y consecuencias del incumplimiento.
ISO 9001,7,7.4,Comunicacion,Matriz o plan de comunicaciones del sistema | Evidencia de comunicacion interna relevante,Matriz,No,Debe ordenar que se comunica cuando a quien y por que medio.
ISO 9001,7,7.5,Informacion documentada,Procedimiento de control documental | Listado maestro de documentos | Formato de control de cambios,Procedimiento,Si,Debe definir aprobacion cambios identificacion acceso resguardo y vigencia.
ISO 9001,8,8.1,Planificacion y control operacional,Plan de calidad o criterio de control operacional | Instructivos operativos clave,Plan de control,No,Conviene vincular procesos requisitos criterios y controles.
ISO 9001,8,8.2,Requisitos para productos y servicios,Procedimiento comercial o revision de requisitos | Registro de revision contractual,Procedimiento,No,Es util formalizar revision de pedidos contratos y cambios del cliente.
ISO 9001,8,8.3,Diseno y desarrollo,Procedimiento de diseno y desarrollo | Plan de diseno | Registro de revisiones y validaciones,Procedimiento,No,Aplica si la organizacion disena productos servicios o procesos propios.
ISO 9001,8,8.4,Control de proveedores,Procedimiento de evaluacion y homologacion de proveedores | Registro de evaluacion de proveedores,Procedimiento,No,Se recomienda integrar criterios de ingreso evaluacion periodica y seguimiento.
ISO 9001,8,8.5,Produccion y provision del servicio,Instructivos operativos | Criterios de liberacion | Registros de proceso,Instructivo,No,Conviene asegurar disponibilidad de informacion controles y trazabilidad.
ISO 9001,8,8.5.2,Identificacion y trazabilidad,Procedimiento de identificacion y trazabilidad | Registro o etiqueta de trazabilidad,Procedimiento,No,Aplica cuando la trazabilidad sea requerida o relevante para el control.
ISO 9001,8,8.5.3,Propiedad perteneciente a clientes o proveedores,Metodo de control de propiedad de terceros,Criterio,No,Conviene registrar recepcion uso proteccion y dano de bienes ajenos.
ISO 9001,8,8.5.4,Preservacion,Criterios de preservacion del producto o servicio,Criterio,No,Aplica a manipulacion embalaje almacenamiento transporte y proteccion.
ISO 9001,8,8.5.5,Actividades posteriores a la entrega,Criterios de postventa garantias o soporte,Criterio,No,Aplica segun tipo de producto riesgos y compromiso con cliente.
ISO 9001,8,8.5.6,Control de cambios,Registro de cambios operativos | Evaluacion y aprobacion del cambio,Registro,No,Debe evidenciar evaluacion aprobacion y seguimiento de cambios productivos.
ISO 9001,8,8.6,Liberacion de productos y servicios,Criterios y autorizacion de liberacion | Registro de liberacion,Registro de liberacion,No,Conviene definir quien libera con que evidencia y contra que requisitos.
ISO 9001,8,8.7,Salidas no conformes,Procedimiento de producto o servicio no conforme | Registro de no conformidad y disposicion,Procedimiento,Si,Debe ordenar identificacion segregacion disposicion y autorizacion de concesiones.
ISO 9001,9,9.1,Seguimiento medicion analisis y evaluacion,Plan de seguimiento y medicion | Tablero de indicadores y analisis,Plan,No,Conviene vincular indicadores fuentes frecuencia y responsables.
ISO 9001,9,9.1.2,Satisfaccion del cliente,Metodo de medicion de satisfaccion del cliente,Metodo,No,Puede incluir encuestas reclamos devoluciones o scorecards.
ISO 9001,9,9.1.3,Analisis y evaluacion,Metodologia de analisis de datos y desempeno,Metodo,No,Debe convertir datos en informacion para decision y mejora.
ISO 9001,9,9.2,Auditoria interna,Programa de auditorias internas | Plan de auditoria | Lista de verificacion | Informe y seguimiento de hallazgos,Programa,Si,Debe contemplar alcance criterios frecuencia responsables y cierre de hallazgos.
ISO 9001,9,9.3,Revision por la direccion,Agenda de revision por la direccion | Acta de revision | Seguimiento de compromisos,Registro de direccion,Si,Conviene estructurar entradas salidas decisiones y seguimiento de compromisos.
ISO 9001,10,10.1,Generalidades de mejora,Plan o enfoque de mejora continua,Plan,No,Puede integrarse con objetivos proyectos acciones correctivas y oportunidades.
ISO 9001,10,10.2,No conformidad y accion correctiva,Procedimiento de no conformidades y acciones correctivas | Registro de accion correctiva | Verificacion de eficacia,Procedimiento,Si,Debe permitir registrar causa raiz acciones responsables plazos y eficacia.
ISO 9001,10,10.3,Mejora continua,Metodologia de mejora continua o plan de iniciativas,Metodo,No,Conviene consolidar oportunidades proyectos y resultados logrados.
ISO 14001,4,4.1,Contexto de la organizacion,Matriz de contexto y cuestiones ambientales | Analisis de contexto ambiental,Matriz,No,Conviene registrar factores externos internos y prioridades ambientales.
ISO 14001,4,4.2,Partes interesadas,Matriz de partes interesadas y obligaciones ambientales | Seguimiento de requisitos y expectativas,Matriz,No,Debe reflejar expectativas regulatorias comunitarias y del negocio.
ISO 14001,4,4.3,Alcance del sistema,Documento de alcance del SGA,Marco del sistema,Si,Debe considerar actividades sitios procesos y limites del sistema ambiental.
ISO 14001,4,4.4,Sistema de gestion ambiental,Mapa del sistema y procesos ambientales | Fichas de proceso ambiental,Arquitectura del sistema,No,Es util para relacionar procesos controles riesgos y cumplimiento.
ISO 14001,5,5.1,Liderazgo y compromiso,Acta o definiciones de liderazgo ambiental,Registro de direccion,No,Puede evidenciarse por decisiones recursos y seguimiento del sistema.
ISO 14001,5,5.2,Politica ambiental,Politica ambiental aprobada,Politica,Si,La politica debe contemplar proteccion ambiental cumplimiento y mejora continua.
ISO 14001,5,5.3,Roles responsabilidades y autoridades,Matriz de responsabilidades ambientales | Organigrama o asignacion funcional,Matriz,No,Conviene definir responsables de cumplimiento aspectos y controles.
ISO 14001,6,6.1.1,Acciones para riesgos y oportunidades,Metodo de evaluacion ambiental y riesgos | Criterio de priorizacion,Metodo,No,Puede integrarse con aspectos requisitos y planificacion de controles.
ISO 14001,6,6.1.2,Aspectos e impactos,Identificacion de aspectos e impactos ambientales | Matriz de significancia,Matriz,Si,Es base para definir controles y prioridades del sistema ambiental.
ISO 14001,6,6.1.3,Obligaciones de cumplimiento,Matriz de requisitos legales y otros requisitos | Seguimiento de cumplimiento legal,Matriz legal,Si,Conviene identificar norma fuente aplicabilidad responsable y evidencia.
ISO 14001,6,6.1.4,Planificacion de acciones,Plan de acciones ambientales por riesgo y cumplimiento | Seguimiento de acciones ambientales,Plan,No,Es util para integrar acciones con objetivos y control operacional.
ISO 14001,6,6.2.1,Objetivos ambientales,Objetivos metas y programas ambientales | Indicadores ambientales,Plan de gestion,Si,Deberian vincularse con impactos significativos y medicion periodica.
ISO 14001,6,6.2.2,Planificacion para lograr objetivos,Plan de accion ambiental | Seguimiento de cumplimiento de metas,Plan,No,Conviene definir recursos responsables plazos y criterios de evaluacion.
ISO 14001,7,7.1,Recursos,Plan de recursos del sistema ambiental,Plan,No,Debe reflejar necesidades para operar y sostener el sistema.
ISO 14001,7,7.2,Competencia,Matriz de competencias ambientales | Registro de capacitacion ambiental,Soporte de gestion,No,Puede apoyarse en capacitacion responsabilidades y evidencias de idoneidad.
ISO 14001,7,7.3,Toma de conciencia,Plan de sensibilizacion ambiental,Plan,No,Conviene asegurar entendimiento de politica impactos y consecuencias del incumplimiento.
ISO 14001,7,7.4,Comunicacion,Matriz o plan de comunicaciones ambientales | Evidencia de comunicacion interna y externa,Matriz,No,Debe ordenar comunicaciones internas externas y respuestas a partes interesadas.
ISO 14001,7,7.5,Informacion documentada,Procedimiento de control documental | Listado maestro de documentos ambientales,Procedimiento,Si,Se espera control de vigencia cambios acceso y conservacion.
ISO 14001,8,8.1,Planificacion y control operacional,Criterios de control operacional ambiental | Instructivos operativos ambientales,Procedimiento,Si,Puede expresarse en procedimientos instructivos hojas de control o estandares.
ISO 14001,8,8.1,Perspectiva de ciclo de vida,Criterios de control operacional ambiental | Instructivos operativos ambientales,Criterio,No,Conviene formalizar requisitos ambientales en etapas del ciclo de vida.
ISO 14001,8,8.2,Emergencias ambientales,Plan de preparacion y respuesta ante emergencias | Registro de simulacros y evaluacion,Plan de respuesta,Si,Debe contemplar escenarios acciones recursos responsables y pruebas.
ISO 14001,9,9.1.1,Seguimiento y medicion,Plan de monitoreo y medicion ambiental | Registro de resultados y tendencias,Plan,No,Debe definir que se mide como quien y con que frecuencia.
ISO 14001,9,9.1.2,Evaluacion de cumplimiento,Procedimiento de evaluacion de cumplimiento legal | Registro de evaluaciones legales,Procedimiento,No,Es recomendable definir periodicidad fuentes y forma de evidenciar resultados.
ISO 14001,9,9.1.3,Analisis y evaluacion,Metodologia de analisis de desempeno ambiental,Metodo,No,Conviene integrar tendencias desvio legal y cumplimiento de objetivos.
ISO 14001,9,9.2,Auditoria interna,Programa de auditorias internas | Plan de auditoria | Informe y seguimiento de hallazgos,Programa,Si,Debe cubrir alcance criterios frecuencia y tratamiento de hallazgos.
ISO 14001,9,9.3,Revision por la direccion,Agenda o minuta de revision por la direccion | Acta de revision ambiental,Registro de direccion,Si,Conviene registrar decisiones sobre desempeno ambiental y recursos.
ISO 14001,10,10.1,Generalidades de mejora,Plan de mejora ambiental,Plan,No,Puede consolidar oportunidades no conformidades y proyectos.
